title,price,review,link
Apple 11-inch iPad Pro Wi-Fi + Cellular 128GB - Silver,"RM4,149.00",Malaysia,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wi-fi-cellular-128gb-silver-i1208568956-s3555812830.html?search=1
Apple 12.9-inch iPad Pro Wi‑Fi + Cellular 128GB,"RM5,049.00",Perak,https://www.lazada.com.my/products/apple-129-inch-ipad-pro-wifi-cellular-128gb-i1052538575-s2862290115.html?search=1
Apple 11-inch iPad Pro Wi-Fi 512GB - Silver,"RM4,849.00",Malaysia,https://www.lazada.com.my/products/apple-11-inch-ipad-pro-wi-fi-512gb-silver-i1208538291-s3555294775.html?search=1
[Back Order] iPad Pro 12.9-inch Wi‑Fi 256GB,"RM4,849.00",Perak,https://www.lazada.com.my/products/back-order-ipad-pro-129-inch-wifi-256gb-i1052252717-s2861084934.html?search=1
iPad Pro 12.9-inch (4th generation) WiFi 256GB Silver,"RM4,399.00","(12)
Federal Territory of Kuala Lumpur",https://www.lazada.com.my/products/ipad-pro-129-inch-4th-generation-wifi-256gb-silver-i952232611-s2426360858.html?search=1
iPad Pro 12.9 inch WIFI + CELL 64GGB,"RM4,999.00",Federal Territory of Kuala Lumpur,https://www.lazada.com.my/products/ipad-pro-129-inch-wifi-cell-64ggb-i512702359-s976616051.html?search=1
Apple iPad Pro 11-inch Wifi + Cellular (2018),"RM4,149.00","(3)
Selangor",https://www.lazada.com.my/products/apple-ipad-pro-11-inch-wifi-cellular-2018-i442649754-s655727884.html?search=1
iPad Pro 9.7 WiFi+Cell 32GB,"RM2,293.00",Federal Territory of Kuala Lumpur,https://www.lazada.com.my/products/ipad-pro-97-wificell-32gb-i677670555-s1460636793.html?search=1
"Benks 18W Dual Port PD Fast Charging Wall Charger for Apple iPhone 12, 12 Mini, 12 Pro, 12 Pro Max ,iPad Pro 11/12.9 2018, iPad Air 10.5",RM29.00,"(3)
Selangor",https://www.lazada.com.my/products/benks-18w-dual-port-pd-fast-charging-wall-charger-for-apple-iphone-12-12-mini-12-pro-12-pro-max-ipad-pro-11129-2018-ipad-air-105-i1627478948-s5589426258.html?search=1
Apple iPad Pro ( 9.7'' ) X-One Extreme Shock Eliminator ( 3rd Generation ) Clear Screen Protector,RM119.00,"(1)
Selangor",https://www.lazada.com.my/products/apple-ipad-pro-97-x-one-extreme-shock-eliminator-3rd-generation-clear-screen-protector-i1586122416-s5388450693.html?search=1
PROLiNK 20W USB C PD 3.0 Power Delivery & QC3.0 2-Port Fast Charger with Safety Mark Suitable for Apple iphone 12 Pro Max 2020 iphone 11 XS XR X 8 iPad Pro 2018/2019 Huawei P40 Samsung Note 10+ S20 Nintendo Switch PTC21801,RM39.00,"(44)
Selangor",https://www.lazada.com.my/products/prolink-20w-usb-c-pd-30-power-delivery-qc30-2-port-fast-charger-with-safety-mark-suitable-for-apple-iphone-12-pro-max-2020-iphone-11-xs-xr-x-8-ipad-pro-20182019-huawei-p40-samsung-note-10-s20-nintendo-switch-ptc21801-i1604256908-s7035886878.html?search=1
